classifier,pixel_index,row,col,n_original_selected,n_flipped_selected,n_overlap
lda,1114,17,26,250,306,40
lda,1191,18,39,250,306,40
lda,1302,20,22,250,306,40
lda,1311,20,31,250,306,40
lda,1317,20,37,250,306,40
lda,1366,21,22,250,306,40
lda,1382,21,38,250,306,40
lda,1434,22,26,250,306,40
lda,1443,22,35,250,306,40
lda,1495,23,23,250,306,40
lda,1501,23,29,250,306,40
lda,1507,23,35,250,306,40
lda,1508,23,36,250,306,40
lda,1561,24,25,250,306,40
lda,1564,24,28,250,306,40
lda,1570,24,34,250,306,40
lda,1574,24,38,250,306,40
lda,1897,29,41,250,306,40
lda,1898,29,42,250,306,40
lda,2137,33,25,250,306,40
lda,2202,34,26,250,306,40
lda,2213,34,37,250,306,40
lda,2266,35,26,250,306,40
lda,2277,35,37,250,306,40
lda,2278,35,38,250,306,40
lda,2330,36,26,250,306,40
lda,2395,37,27,250,306,40
lda,2654,41,30,250,306,40
lda,2777,43,25,250,306,40
lda,2781,43,29,250,306,40
lda,2789,43,37,250,306,40
lda,2896,45,16,250,306,40
lda,2902,45,22,250,306,40
lda,2912,45,32,250,306,40
lda,2919,45,39,250,306,40
lda,2979,46,35,250,306,40
lda,2984,46,40,250,306,40
lda,3032,47,24,250,306,40
lda,3110,48,38,250,306,40
lda,3343,52,15,250,306,40
logreg,1114,17,26,250,306,40
logreg,1191,18,39,250,306,40
logreg,1302,20,22,250,306,40
logreg,1311,20,31,250,306,40
logreg,1317,20,37,250,306,40
logreg,1366,21,22,250,306,40
logreg,1382,21,38,250,306,40
logreg,1434,22,26,250,306,40
logreg,1443,22,35,250,306,40
logreg,1495,23,23,250,306,40
logreg,1501,23,29,250,306,40
logreg,1507,23,35,250,306,40
logreg,1508,23,36,250,306,40
logreg,1561,24,25,250,306,40
logreg,1564,24,28,250,306,40
logreg,1570,24,34,250,306,40
logreg,1574,24,38,250,306,40
logreg,1897,29,41,250,306,40
logreg,1898,29,42,250,306,40
logreg,2137,33,25,250,306,40
logreg,2202,34,26,250,306,40
logreg,2213,34,37,250,306,40
logreg,2266,35,26,250,306,40
logreg,2277,35,37,250,306,40
logreg,2278,35,38,250,306,40
logreg,2330,36,26,250,306,40
logreg,2395,37,27,250,306,40
logreg,2654,41,30,250,306,40
logreg,2777,43,25,250,306,40
logreg,2781,43,29,250,306,40
logreg,2789,43,37,250,306,40
logreg,2896,45,16,250,306,40
logreg,2902,45,22,250,306,40
logreg,2912,45,32,250,306,40
logreg,2919,45,39,250,306,40
