classifier,pixel_index,row,col,n_original_selected,n_flipped_selected,n_overlap
logreg,2979,46,35,250,306,40
logreg,2984,46,40,250,306,40
logreg,3032,47,24,250,306,40
logreg,3110,48,38,250,306,40
logreg,3343,52,15,250,306,40
svm,1114,17,26,807,306,97
svm,1118,17,30,807,306,97
svm,1119,17,31,807,306,97
svm,1176,18,24,807,306,97
svm,1178,18,26,807,306,97
svm,1179,18,27,807,306,97
svm,1180,18,28,807,306,97
svm,1184,18,32,807,306,97
svm,1191,18,39,807,306,97
svm,1244,19,28,807,306,97
svm,1256,19,40,807,306,97
svm,1302,20,22,807,306,97
svm,1309,20,29,807,306,97
svm,1311,20,31,807,306,97
svm,1317,20,37,807,306,97
svm,1318,20,38,807,306,97
svm,1320,20,40,807,306,97
svm,1366,21,22,807,306,97
svm,1369,21,25,807,306,97
svm,1382,21,38,807,306,97
svm,1383,21,39,807,306,97
svm,1434,22,26,807,306,97
svm,1436,22,28,807,306,97
svm,1442,22,34,807,306,97
svm,1443,22,35,807,306,97
svm,1450,22,42,807,306,97
svm,1495,23,23,807,306,97
svm,1500,23,28,807,306,97
svm,1501,23,29,807,306,97
svm,1508,23,36,807,306,97
svm,1511,23,39,807,306,97
svm,1561,24,25,807,306,97
svm,1563,24,27,807,306,97
svm,1564,24,28,807,306,97
svm,1570,24,34,807,306,97
svm,1572,24,36,807,306,97
svm,1574,24,38,807,306,97
svm,1627,25,27,807,306,97
svm,1628,25,28,807,306,97
svm,1759,27,31,807,306,97
svm,1897,29,41,807,306,97
svm,1898,29,42,807,306,97
svm,2137,33,25,807,306,97
svm,2138,33,26,807,306,97
svm,2202,34,26,807,306,97
svm,2213,34,37,807,306,97
svm,2266,35,26,807,306,97
svm,2276,35,36,807,306,97
svm,2277,35,37,807,306,97
svm,2278,35,38,807,306,97
svm,2330,36,26,807,306,97
svm,2393,37,25,807,306,97
svm,2395,37,27,807,306,97
svm,2654,41,30,807,306,97
svm,2657,41,33,807,306,97
svm,2716,42,28,807,306,97
svm,2719,42,31,807,306,97
svm,2722,42,34,807,306,97
svm,2777,43,25,807,306,97
svm,2781,43,29,807,306,97
svm,2789,43,37,807,306,97
svm,2844,44,28,807,306,97
svm,2853,44,37,807,306,97
svm,2856,44,40,807,306,97
svm,2857,44,41,807,306,97
svm,2896,45,16,807,306,97
svm,2902,45,22,807,306,97
svm,2903,45,23,807,306,97
svm,2910,45,30,807,306,97
svm,2912,45,32,807,306,97
svm,2914,45,34,807,306,97
svm,2915,45,35,807,306,97
svm,2917,45,37,807,306,97
svm,2919,45,39,807,306,97
svm,2959,46,15,807,306,97
svm,2972,46,28,807,306,97
svm,2975,46,31,807,306,97
svm,2979,46,35,807,306,97
svm,2982,46,38,807,306,97
svm,2984,46,40,807,306,97
svm,3025,47,17,807,306,97
svm,3030,47,22,807,306,97
svm,3032,47,24,807,306,97
svm,3040,47,32,807,306,97
svm,3042,47,34,807,306,97
svm,3089,48,17,807,306,97
svm,3104,48,32,807,306,97
svm,3110,48,38,807,306,97
svm,3119,48,47,807,306,97
svm,3120,48,48,807,306,97
svm,3150,49,14,807,306,97
svm,3152,49,16,807,306,97
svm,3168,49,32,807,306,97
svm,3184,49,48,807,306,97
svm,3217,50,17,807,306,97
svm,3281,51,17,807,306,97
svm,3343,52,15,807,306,97
