dataset,classifier,param_filter__k,param_lasso__estimator__C,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,is_best,final_test_accuracy,param_svm__C,param_svm__kernel
Half-Flipped,lda,1000,0.1,0.6613333333333333,0.6406666666666667,0.6273333333333333,0.628,0.62,0.6354666666666666,0.014541282229875364,1,True,0.64,,
Half-Flipped,lda,1000,0.01,0.6506666666666666,0.6393333333333333,0.6146666666666667,0.642,0.6106666666666667,0.6314666666666667,0.015851533399362672,2,False,,,
Half-Flipped,lda,500,0.1,0.628,0.6426666666666667,0.6006666666666667,0.6146666666666667,0.6013333333333334,0.6174666666666666,0.01610189774874723,3,False,,,
Half-Flipped,lda,500,0.01,0.64,0.6206666666666667,0.602,0.6126666666666667,0.5953333333333334,0.6141333333333334,0.015585748475949287,4,False,,,
Half-Flipped,lda,1000,1.0,0.624,0.6173333333333333,0.6133333333333333,0.5986666666666667,0.5886666666666667,0.6083999999999999,0.012896855775299983,5,False,,,
Half-Flipped,lda,1000,10.0,0.6246666666666667,0.6166666666666667,0.6026666666666667,0.604,0.5893333333333334,0.6074666666666666,0.01220127497891557,6,False,,,
Half-Flipped,lda,500,1.0,0.6286666666666667,0.6206666666666667,0.6,0.5946666666666667,0.584,0.6056,0.016592367723343996,7,False,,,
Half-Flipped,lda,500,10.0,0.628,0.6193333333333333,0.5973333333333334,0.5946666666666667,0.584,0.6046666666666666,0.01637342019520933,8,False,,,
Half-Flipped,logreg,1000,0.1,0.654,0.6426666666666667,0.6253333333333333,0.632,0.6193333333333333,0.6346666666666667,0.012386372439993194,1,True,0.6424,,
Half-Flipped,logreg,1000,0.01,0.6493333333333333,0.638,0.614,0.6413333333333333,0.6093333333333333,0.6304,0.015802109563810365,2,False,,,
Half-Flipped,logreg,500,0.1,0.6293333333333333,0.64,0.598,0.6086666666666667,0.6,0.6152,0.016639444435170046,3,False,,,
Half-Flipped,logreg,500,0.01,0.6386666666666667,0.6186666666666667,0.6026666666666667,0.6126666666666667,0.5946666666666667,0.6134666666666668,0.015051910177781435,4,False,,,
Half-Flipped,logreg,1000,1.0,0.614,0.6186666666666667,0.61,0.6053333333333333,0.5873333333333334,0.6070666666666666,0.010804114442604202,5,False,,,
Half-Flipped,logreg,1000,10.0,0.6226666666666667,0.6173333333333333,0.606,0.602,0.58,0.6056,0.014815007406155588,6,False,,,
Half-Flipped,logreg,500,1.0,0.6333333333333333,0.6233333333333333,0.5946666666666667,0.5913333333333334,0.5846666666666667,0.6054666666666667,0.01920833152566873,7,False,,,
Half-Flipped,logreg,500,10.0,0.6306666666666667,0.6226666666666667,0.596,0.5953333333333334,0.5813333333333334,0.6052000000000001,0.01846750900605951,8,False,,,
Half-Flipped,svm,1000,0.1,0.806,0.812,0.8173333333333334,0.8166666666666667,0.81,0.8123999999999999,0.0042290004072409685,1,True,0.834,10.0,rbf
Half-Flipped,svm,1000,10.0,0.8126666666666666,0.808,0.82,0.8033333333333333,0.8073333333333333,0.8102666666666666,0.005697562831792373,2,False,,10.0,rbf
Half-Flipped,svm,1000,1.0,0.8073333333333333,0.8126666666666666,0.8186666666666667,0.8006666666666666,0.8086666666666666,0.8096,0.005956882107650316,3,False,,10.0,rbf
Half-Flipped,svm,500,0.1,0.8046666666666666,0.802,0.7946666666666666,0.81,0.7866666666666666,0.7996000000000001,0.008138795979750353,4,False,,10.0,rbf
Half-Flipped,svm,500,1.0,0.7986666666666666,0.7993333333333333,0.7846666666666666,0.7993333333333333,0.7826666666666666,0.7929333333333333,0.007596490417730214,5,False,,10.0,rbf
Half-Flipped,svm,500,10.0,0.796,0.7926666666666666,0.7886666666666666,0.796,0.782,0.7910666666666668,0.005276362383309175,6,False,,10.0,rbf
Half-Flipped,svm,1000,0.01,0.7673333333333333,0.7633333333333333,0.7766666666666666,0.7506666666666667,0.7473333333333333,0.7610666666666666,0.010812338630780408,7,False,,10.0,rbf
Half-Flipped,svm,500,0.01,0.732,0.7066666666666667,0.7213333333333334,0.7253333333333334,0.73,0.7230666666666667,0.008999753083032637,8,False,,10.0,rbf
Original,lda,1000,0.1,0.7846666666666666,0.7893333333333333,0.782,0.782,0.7786666666666666,0.7833333333333333,0.0035527766918597987,1,True,0.7972,,
Original,lda,1000,0.01,0.774,0.7806666666666666,0.7813333333333333,0.7766666666666666,0.7886666666666666,0.7802666666666667,0.004981744451271829,2,False,,,
Original,lda,1000,1.0,0.7713333333333333,0.754,0.7533333333333333,0.7553333333333333,0.762,0.7592,0.006803920438492309,3,False,,,
Original,lda,500,0.1,0.7633333333333333,0.7526666666666667,0.7526666666666667,0.748,0.772,0.7577333333333334,0.008729006561777546,4,False,,,
Original,lda,1000,10.0,0.7686666666666667,0.7506666666666667,0.75,0.7633333333333333,0.754,0.7573333333333333,0.007399699693606196,5,False,,,
Original,lda,500,0.01,0.7653333333333333,0.7333333333333333,0.7493333333333333,0.7506666666666667,0.7553333333333333,0.7507999999999999,0.010382891911430294,6,False,,,
Original,lda,500,1.0,0.7453333333333333,0.7366666666666667,0.7406666666666667,0.7553333333333333,0.7506666666666667,0.7457333333333332,0.0067012436656688195,7,False,,,
Original,lda,500,10.0,0.7413333333333333,0.7306666666666667,0.746,0.7533333333333333,0.7526666666666667,0.7448,0.008341595903795759,8,False,,,
Original,logreg,1000,0.1,0.782,0.7906666666666666,0.7826666666666666,0.78,0.7826666666666666,0.7836000000000001,0.003666060555964654,1,True,0.7916,,
Original,logreg,1000,0.01,0.776,0.78,0.7806666666666666,0.7773333333333333,0.7906666666666666,0.7809333333333334,0.00515708789488364,2,False,,,
Original,logreg,500,0.1,0.7613333333333333,0.7546666666666667,0.7513333333333333,0.748,0.77,0.7570666666666667,0.00782701873143423,3,False,,,
Original,logreg,1000,1.0,0.7706666666666667,0.752,0.7386666666666667,0.7453333333333333,0.752,0.7517333333333334,0.010679991677067104,4,False,,,
Original,logreg,500,0.01,0.7633333333333333,0.7346666666666667,0.7513333333333333,0.748,0.7553333333333333,0.7505333333333334,0.009441280515786904,5,False,,,
Original,logreg,1000,10.0,0.766,0.754,0.7293333333333333,0.7466666666666667,0.7526666666666667,0.7497333333333334,0.011974788330302799,6,False,,,
Original,logreg,500,10.0,0.744,0.726,0.738,0.7513333333333333,0.754,0.7426666666666667,0.01004876996342228,7,False,,,
Original,logreg,500,1.0,0.7393333333333333,0.726,0.742,0.7493333333333333,0.7513333333333333,0.7415999999999999,0.008979977728257454,8,False,,,
Original,svm,1000,1.0,0.8926666666666667,0.8873333333333333,0.886,0.8966666666666666,0.8826666666666667,0.8890666666666667,0.004981744451271822,1,True,0.8972,10.0,rbf
Original,svm,1000,0.1,0.8893333333333333,0.8866666666666667,0.8846666666666667,0.8866666666666667,0.8933333333333333,0.8881333333333334,0.0029933259094191244,2,False,,10.0,rbf
Original,svm,1000,10.0,0.8926666666666667,0.884,0.8893333333333333,0.892,0.882,0.8880000000000001,0.004279148409568332,3,False,,10.0,rbf
Original,svm,500,10.0,0.878,0.8626666666666667,0.866,0.8633333333333333,0.8673333333333333,0.8674666666666667,0.005536143864540456,4,False,,10.0,rbf
Original,svm,500,0.1,0.874,0.8626666666666667,0.8706666666666667,0.858,0.8646666666666667,0.866,0.005703799902988656,5,False,,10.0,rbf
Original,svm,500,1.0,0.8726666666666667,0.858,0.8646666666666667,0.8646666666666667,0.8686666666666667,0.8657333333333334,0.0048735111686659,6,False,,10.0,rbf
Original,svm,1000,0.01,0.8613333333333333,0.856,0.8406666666666667,0.8433333333333334,0.838,0.8478666666666665,0.009135036337578992,7,False,,10.0,rbf
Original,svm,500,0.01,0.8466666666666667,0.834,0.8413333333333334,0.8186666666666667,0.838,0.8357333333333333,0.009490111812946275,8,False,,10.0,rbf
