classifier,pixel_index,row,col,n_original_selected,n_flipped_selected,n_overlap
lda,1118,17,30,252,298,34
lda,1241,19,25,252,298,34
lda,1242,19,26,252,298,34
lda,1255,19,39,252,298,34
lda,1302,20,22,252,298,34
lda,1305,20,25,252,298,34
lda,1310,20,30,252,298,34
lda,1317,20,37,252,298,34
lda,1367,21,23,252,298,34
lda,1444,22,36,252,298,34
lda,1446,22,38,252,298,34
lda,1495,23,23,252,298,34
lda,1561,24,25,252,298,34
lda,1565,24,29,252,298,34
lda,1626,25,26,252,298,34
lda,2201,34,25,252,298,34
lda,2213,34,37,252,298,34
lda,2214,34,38,252,298,34
lda,2266,35,26,252,298,34
lda,2277,35,37,252,298,34
lda,2278,35,38,252,298,34
lda,2330,36,26,252,298,34
lda,2725,42,37,252,298,34
lda,2790,43,38,252,298,34
lda,2847,44,31,252,298,34
lda,2852,44,36,252,298,34
lda,2896,45,16,252,298,34
lda,2913,45,33,252,298,34
lda,2920,45,40,252,298,34
lda,3021,47,13,252,298,34
lda,3154,49,18,252,298,34
lda,3217,50,17,252,298,34
lda,3218,50,18,252,298,34
lda,3497,54,41,252,298,34
logreg,1118,17,30,68,298,15
logreg,1119,17,31,68,298,15
logreg,1184,18,32,68,298,15
logreg,1241,19,25,68,298,15
logreg,1242,19,26,68,298,15
logreg,1312,20,32,68,298,15
logreg,1317,20,37,68,298,15
logreg,2202,34,26,68,298,15
logreg,2266,35,26,68,298,15
logreg,2277,35,37,68,298,15
logreg,2330,36,26,68,298,15
logreg,3154,49,18,68,298,15
logreg,3215,50,15,68,298,15
logreg,3217,50,17,68,298,15
logreg,3218,50,18,68,298,15
svm,1004,15,44,824,834,185
svm,1055,16,31,824,834,185
svm,1118,17,30,824,834,185
svm,1119,17,31,824,834,185
svm,1120,17,32,824,834,185
svm,1121,17,33,824,834,185
svm,1176,18,24,824,834,185
svm,1179,18,27,824,834,185
svm,1183,18,31,824,834,185
svm,1184,18,32,824,834,185
svm,1185,18,33,824,834,185
svm,1239,19,23,824,834,185
svm,1240,19,24,824,834,185
svm,1242,19,26,824,834,185
svm,1243,19,27,824,834,185
svm,1244,19,28,824,834,185
svm,1245,19,29,824,834,185
svm,1246,19,30,824,834,185
svm,1248,19,32,824,834,185
svm,1249,19,33,824,834,185
svm,1250,19,34,824,834,185
svm,1251,19,35,824,834,185
svm,1252,19,36,824,834,185
svm,1254,19,38,824,834,185
svm,1255,19,39,824,834,185
svm,1302,20,22,824,834,185
svm,1305,20,25,824,834,185
svm,1307,20,27,824,834,185
svm,1309,20,29,824,834,185
svm,1310,20,30,824,834,185
svm,1312,20,32,824,834,185
svm,1313,20,33,824,834,185
svm,1314,20,34,824,834,185
svm,1315,20,35,824,834,185
svm,1317,20,37,824,834,185
svm,1318,20,38,824,834,185
svm,1319,20,39,824,834,185
svm,1366,21,22,824,834,185
svm,1370,21,26,824,834,185
svm,1371,21,27,824,834,185
svm,1373,21,29,824,834,185
svm,1379,21,35,824,834,185
svm,1380,21,36,824,834,185
svm,1383,21,39,824,834,185
svm,1384,21,40,824,834,185
svm,1431,22,23,824,834,185
svm,1434,22,26,824,834,185
svm,1435,22,27,824,834,185
svm,1436,22,28,824,834,185
svm,1444,22,36,824,834,185
svm,1447,22,39,824,834,185
svm,1448,22,40,824,834,185
svm,1495,23,23,824,834,185
svm,1496,23,24,824,834,185
svm,1498,23,26,824,834,185
svm,1500,23,28,824,834,185
svm,1501,23,29,824,834,185
svm,1508,23,36,824,834,185
svm,1509,23,37,824,834,185
svm,1511,23,39,824,834,185
svm,1561,24,25,824,834,185
svm,1563,24,27,824,834,185
svm,1564,24,28,824,834,185
svm,1571,24,35,824,834,185
svm,1574,24,38,824,834,185
svm,1626,25,26,824,834,185
svm,1628,25,28,824,834,185
svm,1635,25,35,824,834,185
svm,1693,26,29,824,834,185
svm,2201,34,25,824,834,185
svm,2202,34,26,824,834,185
svm,2213,34,37,824,834,185
svm,2214,34,38,824,834,185
svm,2265,35,25,824,834,185
svm,2266,35,26,824,834,185
svm,2267,35,27,824,834,185
svm,2277,35,37,824,834,185
svm,2329,36,25,824,834,185
svm,2330,36,26,824,834,185
svm,2331,36,27,824,834,185
svm,2340,36,36,824,834,185
svm,2341,36,37,824,834,185
svm,2342,36,38,824,834,185
svm,2393,37,25,824,834,185
svm,2394,37,26,824,834,185
svm,2404,37,36,824,834,185
svm,2405,37,37,824,834,185
svm,2658,41,34,824,834,185
svm,2716,42,28,824,834,185
svm,2717,42,29,824,834,185
svm,2725,42,37,824,834,185
svm,2775,43,23,824,834,185
svm,2776,43,24,824,834,185
svm,2777,43,25,824,834,185
svm,2778,43,26,824,834,185
svm,2779,43,27,824,834,185
svm,2780,43,28,824,834,185
svm,2783,43,31,824,834,185
svm,2784,43,32,824,834,185
svm,2785,43,33,824,834,185
svm,2787,43,35,824,834,185
svm,2789,43,37,824,834,185
svm,2790,43,38,824,834,185
svm,2791,43,39,824,834,185
svm,2838,44,22,824,834,185
svm,2839,44,23,824,834,185
svm,2840,44,24,824,834,185
svm,2842,44,26,824,834,185
svm,2844,44,28,824,834,185
svm,2847,44,31,824,834,185
svm,2848,44,32,824,834,185
svm,2849,44,33,824,834,185
svm,2850,44,34,824,834,185
svm,2851,44,35,824,834,185
svm,2852,44,36,824,834,185
svm,2854,44,38,824,834,185
svm,2855,44,39,824,834,185
svm,2896,45,16,824,834,185
svm,2902,45,22,824,834,185
svm,2903,45,23,824,834,185
svm,2904,45,24,824,834,185
svm,2905,45,25,824,834,185
svm,2906,45,26,824,834,185
svm,2907,45,27,824,834,185
svm,2910,45,30,824,834,185
svm,2912,45,32,824,834,185
svm,2913,45,33,824,834,185
svm,2914,45,34,824,834,185
svm,2915,45,35,824,834,185
svm,2916,45,36,824,834,185
svm,2917,45,37,824,834,185
svm,2918,45,38,824,834,185
svm,2920,45,40,824,834,185
svm,2958,46,14,824,834,185
svm,2959,46,15,824,834,185
svm,2960,46,16,824,834,185
svm,2967,46,23,824,834,185
svm,2968,46,24,824,834,185
svm,2974,46,30,824,834,185
svm,2975,46,31,824,834,185
svm,2976,46,32,824,834,185
svm,2977,46,33,824,834,185
svm,2981,46,37,824,834,185
svm,2983,46,39,824,834,185
svm,2992,46,48,824,834,185
svm,3021,47,13,824,834,185
svm,3022,47,14,824,834,185
svm,3023,47,15,824,834,185
svm,3024,47,16,824,834,185
svm,3025,47,17,824,834,185
svm,3038,47,30,824,834,185
svm,3040,47,32,824,834,185
svm,3041,47,33,824,834,185
svm,3046,47,38,824,834,185
svm,3047,47,39,824,834,185
svm,3055,47,47,824,834,185
svm,3057,47,49,824,834,185
svm,3089,48,17,824,834,185
svm,3119,48,47,824,834,185
svm,3120,48,48,824,834,185
svm,3149,49,13,824,834,185
svm,3151,49,15,824,834,185
svm,3152,49,16,824,834,185
svm,3182,49,46,824,834,185
svm,3214,50,14,824,834,185
svm,3215,50,15,824,834,185
svm,3216,50,16,824,834,185
svm,3217,50,17,824,834,185
svm,3218,50,18,824,834,185
svm,3247,50,47,824,834,185
