dataset,classifier,param_filter__k,param_lasso__estimator__C,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,is_best,final_test_accuracy,param_svm__C,param_svm__kernel
Half-Flipped,lda,1000,0.1,0.6366666666666667,0.6473333333333333,0.6293333333333333,0.6273333333333333,0.6146666666666667,0.6310666666666667,0.010787647256623347,1,True,0.6188,,
Half-Flipped,lda,1000,0.01,0.6466666666666666,0.6526666666666666,0.618,0.616,0.6126666666666667,0.6292,0.016904437287292323,2,False,,,
Half-Flipped,lda,1000,10.0,0.602,0.636,0.6073333333333333,0.592,0.5773333333333334,0.6029333333333333,0.019434676911815812,3,False,,,
Half-Flipped,lda,1000,1.0,0.5953333333333334,0.6413333333333333,0.6006666666666667,0.5906666666666667,0.5826666666666667,0.6021333333333333,0.020471769179368274,4,False,,,
Half-Flipped,logreg,1000,0.1,0.6393333333333333,0.6513333333333333,0.6266666666666667,0.6246666666666667,0.6086666666666667,0.6301333333333333,0.01439999999999998,1,True,0.618,,
Half-Flipped,logreg,1000,0.01,0.6433333333333333,0.6513333333333333,0.6213333333333333,0.6126666666666667,0.614,0.6285333333333333,0.015834701695257084,2,False,,,
Half-Flipped,logreg,1000,1.0,0.594,0.634,0.6033333333333334,0.5953333333333334,0.5873333333333334,0.6028,0.016408128067109496,3,False,,,
Half-Flipped,logreg,1000,10.0,0.5986666666666667,0.6306666666666667,0.6053333333333333,0.5946666666666667,0.5846666666666667,0.6028,0.015459768576678138,3,False,,,
Half-Flipped,svm,1000,1.0,0.8106666666666666,0.832,0.8226666666666667,0.79,0.8173333333333334,0.8145333333333333,0.014113193197225836,1,True,0.798,10.0,rbf
Half-Flipped,svm,1000,0.1,0.806,0.8326666666666667,0.81,0.7933333333333333,0.82,0.8124,0.01325711548984585,2,False,,10.0,rbf
Half-Flipped,svm,1000,10.0,0.8086666666666666,0.83,0.8173333333333334,0.7873333333333333,0.8133333333333334,0.8113333333333334,0.013939552041264128,3,False,,10.0,rbf
Half-Flipped,svm,1000,0.01,0.7553333333333333,0.774,0.7473333333333333,0.7426666666666667,0.7506666666666667,0.7539999999999999,0.010823841996054618,4,False,,10.0,rbf
Original,lda,1000,0.1,0.7726666666666666,0.7893333333333333,0.7893333333333333,0.7686666666666667,0.7853333333333333,0.7810666666666667,0.00870861642283089,1,True,0.7892,,
Original,lda,1000,0.01,0.7766666666666666,0.7793333333333333,0.776,0.7826666666666666,0.7853333333333333,0.78,0.0035527766918597905,2,False,,,
Original,lda,1000,1.0,0.752,0.756,0.7706666666666667,0.742,0.7566666666666667,0.7554666666666667,0.009231828998994027,3,False,,,
Original,lda,1000,10.0,0.746,0.7573333333333333,0.7666666666666667,0.7393333333333333,0.762,0.7542666666666666,0.01014210146972622,4,False,,,
Original,logreg,1000,0.01,0.78,0.7793333333333333,0.778,0.7833333333333333,0.784,0.7809333333333333,0.0023323807579381196,1,True,0.7912,,
Original,logreg,1000,0.1,0.7713333333333333,0.7873333333333333,0.786,0.7646666666666667,0.7846666666666666,0.7788,0.009105797908780718,2,False,,,
Original,logreg,1000,1.0,0.7406666666666667,0.7533333333333333,0.7533333333333333,0.738,0.746,0.7462666666666666,0.006318930992572135,3,False,,,
Original,logreg,1000,10.0,0.738,0.748,0.7533333333333333,0.7333333333333333,0.7413333333333333,0.7428,0.007110555533852477,4,False,,,
Original,svm,1000,1.0,0.8806666666666667,0.8946666666666667,0.892,0.882,0.8933333333333333,0.8885333333333334,0.005953896949804292,1,True,0.9044,10.0,rbf
Original,svm,1000,0.1,0.8773333333333333,0.8926666666666667,0.8873333333333333,0.8846666666666667,0.8873333333333333,0.8858666666666666,0.00499599839871874,2,False,,10.0,rbf
Original,svm,1000,10.0,0.878,0.8906666666666667,0.892,0.8773333333333333,0.89,0.8855999999999999,0.006512893195637255,3,False,,10.0,rbf
Original,svm,1000,0.01,0.8433333333333334,0.8473333333333334,0.8633333333333333,0.842,0.856,0.8504000000000002,0.008105964881904331,4,False,,10.0,rbf
