dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,lda,1,0,1,298
Half-Flipped,lda,61,0,61,298
Half-Flipped,lda,66,1,2,298
Half-Flipped,lda,120,1,56,298
Half-Flipped,lda,123,1,59,298
Half-Flipped,lda,127,1,63,298
Half-Flipped,lda,130,2,2,298
Half-Flipped,lda,187,2,59,298
Half-Flipped,lda,249,3,57,298
Half-Flipped,lda,252,3,60,298
Half-Flipped,lda,260,4,4,298
Half-Flipped,lda,319,4,63,298
Half-Flipped,lda,324,5,4,298
Half-Flipped,lda,379,5,59,298
Half-Flipped,lda,380,5,60,298
Half-Flipped,lda,385,6,1,298
Half-Flipped,lda,466,7,18,298
Half-Flipped,lda,468,7,20,298
Half-Flipped,lda,506,7,58,298
Half-Flipped,lda,511,7,63,298
Half-Flipped,lda,527,8,15,298
Half-Flipped,lda,530,8,18,298
Half-Flipped,lda,576,9,0,298
Half-Flipped,lda,639,9,63,298
Half-Flipped,lda,640,10,0,298
Half-Flipped,lda,652,10,12,298
Half-Flipped,lda,655,10,15,298
Half-Flipped,lda,658,10,18,298
Half-Flipped,lda,687,10,47,298
Half-Flipped,lda,699,10,59,298
Half-Flipped,lda,702,10,62,298
Half-Flipped,lda,714,11,10,298
Half-Flipped,lda,721,11,17,298
Half-Flipped,lda,723,11,19,298
Half-Flipped,lda,724,11,20,298
Half-Flipped,lda,750,11,46,298
Half-Flipped,lda,752,11,48,298
Half-Flipped,lda,767,11,63,298
Half-Flipped,lda,781,12,13,298
Half-Flipped,lda,783,12,15,298
Half-Flipped,lda,786,12,18,298
Half-Flipped,lda,787,12,19,298
Half-Flipped,lda,812,12,44,298
Half-Flipped,lda,816,12,48,298
Half-Flipped,lda,827,12,59,298
Half-Flipped,lda,829,12,61,298
Half-Flipped,lda,878,13,46,298
Half-Flipped,lda,881,13,49,298
Half-Flipped,lda,905,14,9,298
Half-Flipped,lda,907,14,11,298
Half-Flipped,lda,913,14,17,298
Half-Flipped,lda,914,14,18,298
Half-Flipped,lda,940,14,44,298
Half-Flipped,lda,958,14,62,298
Half-Flipped,lda,959,14,63,298
Half-Flipped,lda,971,15,11,298
Half-Flipped,lda,973,15,13,298
Half-Flipped,lda,974,15,14,298
Half-Flipped,lda,1010,15,50,298
Half-Flipped,lda,1012,15,52,298
Half-Flipped,lda,1036,16,12,298
Half-Flipped,lda,1040,16,16,298
Half-Flipped,lda,1054,16,30,298
Half-Flipped,lda,1072,16,48,298
Half-Flipped,lda,1097,17,9,298
Half-Flipped,lda,1103,17,15,298
Half-Flipped,lda,1118,17,30,298
Half-Flipped,lda,1119,17,31,298
Half-Flipped,lda,1120,17,32,298
Half-Flipped,lda,1133,17,45,298
Half-Flipped,lda,1134,17,46,298
Half-Flipped,lda,1136,17,48,298
Half-Flipped,lda,1139,17,51,298
Half-Flipped,lda,1140,17,52,298
Half-Flipped,lda,1163,18,11,298
Half-Flipped,lda,1165,18,13,298
Half-Flipped,lda,1179,18,27,298
Half-Flipped,lda,1181,18,29,298
Half-Flipped,lda,1183,18,31,298
Half-Flipped,lda,1184,18,32,298
Half-Flipped,lda,1201,18,49,298
Half-Flipped,lda,1204,18,52,298
Half-Flipped,lda,1230,19,14,298
Half-Flipped,lda,1231,19,15,298
Half-Flipped,lda,1241,19,25,298
Half-Flipped,lda,1242,19,26,298
Half-Flipped,lda,1252,19,36,298
Half-Flipped,lda,1255,19,39,298
Half-Flipped,lda,1263,19,47,298
Half-Flipped,lda,1267,19,51,298
Half-Flipped,lda,1302,20,22,298
Half-Flipped,lda,1305,20,25,298
Half-Flipped,lda,1308,20,28,298
Half-Flipped,lda,1310,20,30,298
Half-Flipped,lda,1312,20,32,298
Half-Flipped,lda,1317,20,37,298
Half-Flipped,lda,1343,20,63,298
Half-Flipped,lda,1366,21,22,298
Half-Flipped,lda,1367,21,23,298
Half-Flipped,lda,1371,21,27,298
Half-Flipped,lda,1373,21,29,298
Half-Flipped,lda,1379,21,35,298
Half-Flipped,lda,1405,21,61,298
Half-Flipped,lda,1406,21,62,298
Half-Flipped,lda,1434,22,26,298
Half-Flipped,lda,1435,22,27,298
Half-Flipped,lda,1443,22,35,298
Half-Flipped,lda,1444,22,36,298
Half-Flipped,lda,1446,22,38,298
Half-Flipped,lda,1449,22,41,298
Half-Flipped,lda,1471,22,63,298
Half-Flipped,lda,1495,23,23,298
Half-Flipped,lda,1498,23,26,298
Half-Flipped,lda,1499,23,27,298
Half-Flipped,lda,1501,23,29,298
Half-Flipped,lda,1560,24,24,298
Half-Flipped,lda,1561,24,25,298
Half-Flipped,lda,1565,24,29,298
Half-Flipped,lda,1575,24,39,298
Half-Flipped,lda,1598,24,62,298
Half-Flipped,lda,1626,25,26,298
Half-Flipped,lda,1637,25,37,298
Half-Flipped,lda,1638,25,38,298
Half-Flipped,lda,1689,26,25,298
Half-Flipped,lda,1690,26,26,298
Half-Flipped,lda,1693,26,29,298
Half-Flipped,lda,1698,26,34,298
Half-Flipped,lda,1701,26,37,298
Half-Flipped,lda,1754,27,26,298
Half-Flipped,lda,1756,27,28,298
Half-Flipped,lda,1764,27,36,298
Half-Flipped,lda,1766,27,38,298
Half-Flipped,lda,1818,28,26,298
Half-Flipped,lda,1819,28,27,298
Half-Flipped,lda,1828,28,36,298
Half-Flipped,lda,1829,28,37,298
Half-Flipped,lda,1854,28,62,298
Half-Flipped,lda,1881,29,25,298
Half-Flipped,lda,1882,29,26,298
Half-Flipped,lda,1885,29,29,298
Half-Flipped,lda,1893,29,37,298
Half-Flipped,lda,1945,30,25,298
Half-Flipped,lda,1946,30,26,298
Half-Flipped,lda,1953,30,33,298
Half-Flipped,lda,2015,31,31,298
Half-Flipped,lda,2016,31,32,298
Half-Flipped,lda,2077,32,29,298
Half-Flipped,lda,2080,32,32,298
Half-Flipped,lda,2090,32,42,298
Half-Flipped,lda,2135,33,23,298
Half-Flipped,lda,2154,33,42,298
Half-Flipped,lda,2155,33,43,298
Half-Flipped,lda,2201,34,25,298
