dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,lda,2137,33,25,306
Half-Flipped,lda,2138,33,26,306
Half-Flipped,lda,2142,33,30,306
Half-Flipped,lda,2146,33,34,306
Half-Flipped,lda,2154,33,42,306
Half-Flipped,lda,2155,33,43,306
Half-Flipped,lda,2202,34,26,306
Half-Flipped,lda,2203,34,27,306
Half-Flipped,lda,2208,34,32,306
Half-Flipped,lda,2213,34,37,306
Half-Flipped,lda,2238,34,62,306
Half-Flipped,lda,2266,35,26,306
Half-Flipped,lda,2273,35,33,306
Half-Flipped,lda,2275,35,35,306
Half-Flipped,lda,2276,35,36,306
Half-Flipped,lda,2277,35,37,306
Half-Flipped,lda,2278,35,38,306
Half-Flipped,lda,2302,35,62,306
Half-Flipped,lda,2330,36,26,306
Half-Flipped,lda,2332,36,28,306
Half-Flipped,lda,2367,36,63,306
Half-Flipped,lda,2393,37,25,306
Half-Flipped,lda,2395,37,27,306
Half-Flipped,lda,2398,37,30,306
Half-Flipped,lda,2403,37,35,306
Half-Flipped,lda,2457,38,25,306
Half-Flipped,lda,2466,38,34,306
Half-Flipped,lda,2467,38,35,306
Half-Flipped,lda,2469,38,37,306
Half-Flipped,lda,2470,38,38,306
Half-Flipped,lda,2471,38,39,306
Half-Flipped,lda,2517,39,21,306
Half-Flipped,lda,2520,39,24,306
Half-Flipped,lda,2522,39,26,306
Half-Flipped,lda,2523,39,27,306
Half-Flipped,lda,2525,39,29,306
Half-Flipped,lda,2530,39,34,306
Half-Flipped,lda,2580,40,20,306
Half-Flipped,lda,2582,40,22,306
Half-Flipped,lda,2583,40,23,306
Half-Flipped,lda,2585,40,25,306
Half-Flipped,lda,2587,40,27,306
Half-Flipped,lda,2595,40,35,306
Half-Flipped,lda,2598,40,38,306
Half-Flipped,lda,2599,40,39,306
Half-Flipped,lda,2600,40,40,306
Half-Flipped,lda,2605,40,45,306
Half-Flipped,lda,2643,41,19,306
Half-Flipped,lda,2647,41,23,306
Half-Flipped,lda,2652,41,28,306
Half-Flipped,lda,2654,41,30,306
Half-Flipped,lda,2657,41,33,306
Half-Flipped,lda,2658,41,34,306
Half-Flipped,lda,2660,41,36,306
Half-Flipped,lda,2662,41,38,306
Half-Flipped,lda,2665,41,41,306
Half-Flipped,lda,2687,41,63,306
Half-Flipped,lda,2714,42,26,306
Half-Flipped,lda,2716,42,28,306
Half-Flipped,lda,2719,42,31,306
Half-Flipped,lda,2722,42,34,306
Half-Flipped,lda,2726,42,38,306
Half-Flipped,lda,2727,42,39,306
Half-Flipped,lda,2777,43,25,306
Half-Flipped,lda,2781,43,29,306
Half-Flipped,lda,2789,43,37,306
Half-Flipped,lda,2803,43,51,306
Half-Flipped,lda,2804,43,52,306
Half-Flipped,lda,2826,44,10,306
Half-Flipped,lda,2844,44,28,306
Half-Flipped,lda,2851,44,35,306
Half-Flipped,lda,2853,44,37,306
Half-Flipped,lda,2856,44,40,306
Half-Flipped,lda,2857,44,41,306
Half-Flipped,lda,2866,44,50,306
Half-Flipped,lda,2867,44,51,306
Half-Flipped,lda,2868,44,52,306
Half-Flipped,lda,2879,44,63,306
Half-Flipped,lda,2893,45,13,306
Half-Flipped,lda,2894,45,14,306
Half-Flipped,lda,2896,45,16,306
Half-Flipped,lda,2902,45,22,306
Half-Flipped,lda,2903,45,23,306
Half-Flipped,lda,2910,45,30,306
Half-Flipped,lda,2912,45,32,306
Half-Flipped,lda,2914,45,34,306
Half-Flipped,lda,2915,45,35,306
Half-Flipped,lda,2917,45,37,306
Half-Flipped,lda,2919,45,39,306
Half-Flipped,lda,2928,45,48,306
Half-Flipped,lda,2953,46,9,306
Half-Flipped,lda,2956,46,12,306
Half-Flipped,lda,2959,46,15,306
Half-Flipped,lda,2960,46,16,306
Half-Flipped,lda,2972,46,28,306
Half-Flipped,lda,2975,46,31,306
Half-Flipped,lda,2976,46,32,306
Half-Flipped,lda,2979,46,35,306
Half-Flipped,lda,2982,46,38,306
Half-Flipped,lda,2984,46,40,306
Half-Flipped,lda,2993,46,49,306
Half-Flipped,lda,2995,46,51,306
Half-Flipped,lda,3025,47,17,306
Half-Flipped,lda,3030,47,22,306
Half-Flipped,lda,3032,47,24,306
Half-Flipped,lda,3039,47,31,306
Half-Flipped,lda,3040,47,32,306
Half-Flipped,lda,3042,47,34,306
Half-Flipped,lda,3060,47,52,306
Half-Flipped,lda,3061,47,53,306
Half-Flipped,lda,3089,48,17,306
Half-Flipped,lda,3104,48,32,306
Half-Flipped,lda,3105,48,33,306
Half-Flipped,lda,3110,48,38,306
Half-Flipped,lda,3119,48,47,306
Half-Flipped,lda,3120,48,48,306
Half-Flipped,lda,3124,48,52,306
Half-Flipped,lda,3150,49,14,306
Half-Flipped,lda,3152,49,16,306
Half-Flipped,lda,3168,49,32,306
Half-Flipped,lda,3184,49,48,306
Half-Flipped,lda,3185,49,49,306
Half-Flipped,lda,3186,49,50,306
Half-Flipped,lda,3217,50,17,306
Half-Flipped,lda,3281,51,17,306
Half-Flipped,lda,3326,51,62,306
Half-Flipped,lda,3328,52,0,306
Half-Flipped,lda,3342,52,14,306
Half-Flipped,lda,3343,52,15,306
Half-Flipped,lda,3518,54,62,306
Half-Flipped,lda,3519,54,63,306
Half-Flipped,lda,3645,56,61,306
Half-Flipped,lda,3647,56,63,306
Half-Flipped,lda,3711,57,63,306
Half-Flipped,lda,3771,58,59,306
Half-Flipped,lda,3772,58,60,306
Half-Flipped,lda,3776,59,0,306
Half-Flipped,lda,3779,59,3,306
Half-Flipped,lda,3834,59,58,306
Half-Flipped,lda,3837,59,61,306
Half-Flipped,lda,3904,61,0,306
Half-Flipped,lda,3961,61,57,306
Half-Flipped,lda,4034,63,2,306
Half-Flipped,lda,4093,63,61,306
Half-Flipped,lda,4095,63,63,306
