dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,svm_wrapper,2917,45,37,150
Half-Flipped,svm_wrapper,2919,45,39,150
Half-Flipped,svm_wrapper,2959,46,15,150
Half-Flipped,svm_wrapper,2967,46,23,150
Half-Flipped,svm_wrapper,2968,46,24,150
Half-Flipped,svm_wrapper,2974,46,30,150
Half-Flipped,svm_wrapper,2981,46,37,150
Half-Flipped,svm_wrapper,2982,46,38,150
Half-Flipped,svm_wrapper,2993,46,49,150
Half-Flipped,svm_wrapper,3023,47,15,150
Half-Flipped,svm_wrapper,3150,49,14,150
Half-Flipped,svm_wrapper,3215,50,15,150
Half-Flipped,svm_wrapper,3455,53,63,150
Half-Flipped,svm_wrapper,3519,54,63,150
Half-Flipped,svm_wrapper,3582,55,62,150
Half-Flipped,svm_wrapper,3583,55,63,150
Half-Flipped,svm_wrapper,3646,56,62,150
Half-Flipped,svm_wrapper,3647,56,63,150
Half-Flipped,svm_wrapper,3711,57,63,150
Half-Flipped,svm_wrapper,3775,58,63,150
Half-Flipped,svm_wrapper,4030,62,62,150
Half-Flipped,svm_wrapper,4095,63,63,150
Original,svm_wrapper,668,10,28,150
Original,svm_wrapper,669,10,29,150
Original,svm_wrapper,730,11,26,150
Original,svm_wrapper,738,11,34,150
Original,svm_wrapper,740,11,36,150
Original,svm_wrapper,741,11,37,150
Original,svm_wrapper,742,11,38,150
Original,svm_wrapper,794,12,26,150
Original,svm_wrapper,796,12,28,150
Original,svm_wrapper,797,12,29,150
Original,svm_wrapper,802,12,34,150
Original,svm_wrapper,804,12,36,150
Original,svm_wrapper,805,12,37,150
Original,svm_wrapper,806,12,38,150
Original,svm_wrapper,855,13,23,150
Original,svm_wrapper,864,13,32,150
Original,svm_wrapper,865,13,33,150
Original,svm_wrapper,866,13,34,150
Original,svm_wrapper,868,13,36,150
Original,svm_wrapper,869,13,37,150
Original,svm_wrapper,870,13,38,150
Original,svm_wrapper,872,13,40,150
Original,svm_wrapper,873,13,41,150
Original,svm_wrapper,917,14,21,150
Original,svm_wrapper,918,14,22,150
Original,svm_wrapper,919,14,23,150
Original,svm_wrapper,920,14,24,150
Original,svm_wrapper,932,14,36,150
Original,svm_wrapper,933,14,37,150
Original,svm_wrapper,936,14,40,150
Original,svm_wrapper,983,15,23,150
Original,svm_wrapper,984,15,24,150
Original,svm_wrapper,988,15,28,150
Original,svm_wrapper,996,15,36,150
Original,svm_wrapper,997,15,37,150
Original,svm_wrapper,1000,15,40,150
Original,svm_wrapper,1045,16,21,150
Original,svm_wrapper,1047,16,23,150
Original,svm_wrapper,1060,16,36,150
Original,svm_wrapper,1061,16,37,150
Original,svm_wrapper,1066,16,42,150
Original,svm_wrapper,1108,17,20,150
Original,svm_wrapper,1129,17,41,150
