classifier,pixel_index,row,col,n_original_selected,n_flipped_selected,n_overlap
lda,1120,17,32,265,85,12
lda,1305,20,25,265,85,12
lda,1562,24,26,265,85,12
lda,2277,35,37,265,85,12
lda,2330,36,26,265,85,12
lda,2778,43,26,265,85,12
lda,2959,46,15,265,85,12
lda,2990,46,46,265,85,12
lda,3038,47,30,265,85,12
lda,3057,47,49,265,85,12
lda,3085,48,13,265,85,12
lda,3541,55,21,265,85,12
logreg,1120,17,32,75,85,4
logreg,2277,35,37,75,85,4
logreg,2330,36,26,75,85,4
logreg,3085,48,13,75,85,4
svm,1118,17,30,803,299,85
svm,1119,17,31,803,299,85
svm,1120,17,32,803,299,85
svm,1176,18,24,803,299,85
svm,1180,18,28,803,299,85
svm,1187,18,35,803,299,85
svm,1189,18,37,803,299,85
svm,1240,19,24,803,299,85
svm,1241,19,25,803,299,85
svm,1302,20,22,803,299,85
svm,1305,20,25,803,299,85
svm,1307,20,27,803,299,85
svm,1309,20,29,803,299,85
svm,1311,20,31,803,299,85
svm,1317,20,37,803,299,85
svm,1318,20,38,803,299,85
svm,1371,21,27,803,299,85
svm,1377,21,33,803,299,85
svm,1383,21,39,803,299,85
svm,1384,21,40,803,299,85
svm,1432,22,24,803,299,85
svm,1436,22,28,803,299,85
svm,1445,22,37,803,299,85
svm,1446,22,38,803,299,85
svm,1499,23,27,803,299,85
svm,1507,23,35,803,299,85
svm,1511,23,39,803,299,85
svm,1561,24,25,803,299,85
svm,1562,24,26,803,299,85
svm,1565,24,29,803,299,85
svm,1571,24,35,803,299,85
svm,1628,25,28,803,299,85
svm,2201,34,25,803,299,85
svm,2213,34,37,803,299,85
svm,2265,35,25,803,299,85
svm,2266,35,26,803,299,85
svm,2267,35,27,803,299,85
svm,2277,35,37,803,299,85
svm,2278,35,38,803,299,85
svm,2330,36,26,803,299,85
svm,2340,36,36,803,299,85
svm,2394,37,26,803,299,85
svm,2405,37,37,803,299,85
svm,2653,41,29,803,299,85
svm,2716,42,28,803,299,85
svm,2722,42,34,803,299,85
svm,2723,42,35,803,299,85
svm,2776,43,24,803,299,85
svm,2778,43,26,803,299,85
svm,2780,43,28,803,299,85
svm,2783,43,31,803,299,85
svm,2789,43,37,803,299,85
svm,2847,44,31,803,299,85
svm,2855,44,39,803,299,85
svm,2904,45,24,803,299,85
svm,2912,45,32,803,299,85
svm,2925,45,45,803,299,85
svm,2959,46,15,803,299,85
svm,2990,46,46,803,299,85
svm,3022,47,14,803,299,85
svm,3038,47,30,803,299,85
svm,3056,47,48,803,299,85
svm,3057,47,49,803,299,85
svm,3085,48,13,803,299,85
svm,3087,48,15,803,299,85
svm,3116,48,44,803,299,85
svm,3120,48,48,803,299,85
svm,3121,48,49,803,299,85
svm,3154,49,18,803,299,85
svm,3243,50,43,803,299,85
svm,3247,50,47,803,299,85
svm,3308,51,44,803,299,85
svm,3310,51,46,803,299,85
svm,3375,52,47,803,299,85
svm,3410,53,18,803,299,85
svm,3411,53,19,803,299,85
svm,3434,53,42,803,299,85
svm,3438,53,46,803,299,85
svm,3475,54,19,803,299,85
svm,3496,54,40,803,299,85
svm,3538,55,18,803,299,85
svm,3541,55,21,803,299,85
svm,3564,55,44,803,299,85
svm,3604,56,20,803,299,85
svm,3625,56,41,803,299,85
