dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,logreg,3454,53,62,85
Half-Flipped,logreg,3472,54,16,85
Half-Flipped,logreg,3500,54,44,85
Half-Flipped,logreg,3519,54,63,85
Half-Flipped,logreg,3541,55,21,85
Half-Flipped,logreg,3564,55,44,85
Half-Flipped,logreg,3600,56,16,85
Half-Flipped,logreg,3604,56,20,85
Half-Flipped,logreg,3625,56,41,85
Half-Flipped,logreg,3772,58,60,85
Half-Flipped,logreg,3776,59,0,85
Half-Flipped,logreg,3962,61,58,85
Half-Flipped,logreg,3963,61,59,85
Half-Flipped,logreg,4031,62,63,85
Half-Flipped,svm,1,0,1,299
Half-Flipped,svm,2,0,2,299
Half-Flipped,svm,63,0,63,299
Half-Flipped,svm,128,2,0,299
Half-Flipped,svm,186,2,58,299
Half-Flipped,svm,254,3,62,299
Half-Flipped,svm,379,5,59,299
Half-Flipped,svm,380,5,60,299
Half-Flipped,svm,383,5,63,299
Half-Flipped,svm,446,6,62,299
Half-Flipped,svm,447,6,63,299
Half-Flipped,svm,508,7,60,299
Half-Flipped,svm,570,8,58,299
Half-Flipped,svm,572,8,60,299
Half-Flipped,svm,575,8,63,299
Half-Flipped,svm,577,9,1,299
Half-Flipped,svm,640,10,0,299
Half-Flipped,svm,702,10,62,299
Half-Flipped,svm,716,11,12,299
Half-Flipped,svm,719,11,15,299
Half-Flipped,svm,767,11,63,299
Half-Flipped,svm,780,12,12,299
Half-Flipped,svm,785,12,17,299
Half-Flipped,svm,812,12,44,299
Half-Flipped,svm,814,12,46,299
Half-Flipped,svm,815,12,47,299
Half-Flipped,svm,845,13,13,299
Half-Flipped,svm,877,13,45,299
Half-Flipped,svm,880,13,48,299
Half-Flipped,svm,911,14,15,299
Half-Flipped,svm,913,14,17,299
Half-Flipped,svm,942,14,46,299
Half-Flipped,svm,943,14,47,299
Half-Flipped,svm,944,14,48,299
Half-Flipped,svm,970,15,10,299
Half-Flipped,svm,973,15,13,299
Half-Flipped,svm,975,15,15,299
Half-Flipped,svm,1006,15,46,299
Half-Flipped,svm,1021,15,61,299
Half-Flipped,svm,1034,16,10,299
Half-Flipped,svm,1039,16,15,299
Half-Flipped,svm,1040,16,16,299
Half-Flipped,svm,1056,16,32,299
Half-Flipped,svm,1072,16,48,299
Half-Flipped,svm,1073,16,49,299
Half-Flipped,svm,1099,17,11,299
Half-Flipped,svm,1101,17,13,299
Half-Flipped,svm,1103,17,15,299
Half-Flipped,svm,1104,17,16,299
Half-Flipped,svm,1114,17,26,299
Half-Flipped,svm,1118,17,30,299
Half-Flipped,svm,1119,17,31,299
Half-Flipped,svm,1120,17,32,299
Half-Flipped,svm,1122,17,34,299
Half-Flipped,svm,1134,17,46,299
Half-Flipped,svm,1138,17,50,299
Half-Flipped,svm,1162,18,10,299
Half-Flipped,svm,1167,18,15,299
Half-Flipped,svm,1175,18,23,299
Half-Flipped,svm,1176,18,24,299
Half-Flipped,svm,1180,18,28,299
Half-Flipped,svm,1184,18,32,299
Half-Flipped,svm,1187,18,35,299
Half-Flipped,svm,1189,18,37,299
Half-Flipped,svm,1201,18,49,299
Half-Flipped,svm,1226,19,10,299
Half-Flipped,svm,1240,19,24,299
Half-Flipped,svm,1241,19,25,299
Half-Flipped,svm,1247,19,31,299
Half-Flipped,svm,1302,20,22,299
Half-Flipped,svm,1304,20,24,299
Half-Flipped,svm,1305,20,25,299
Half-Flipped,svm,1307,20,27,299
Half-Flipped,svm,1309,20,29,299
Half-Flipped,svm,1310,20,30,299
Half-Flipped,svm,1311,20,31,299
Half-Flipped,svm,1317,20,37,299
Half-Flipped,svm,1318,20,38,299
Half-Flipped,svm,1367,21,23,299
Half-Flipped,svm,1371,21,27,299
Half-Flipped,svm,1377,21,33,299
Half-Flipped,svm,1383,21,39,299
Half-Flipped,svm,1384,21,40,299
Half-Flipped,svm,1432,22,24,299
Half-Flipped,svm,1436,22,28,299
Half-Flipped,svm,1445,22,37,299
Half-Flipped,svm,1446,22,38,299
Half-Flipped,svm,1469,22,61,299
Half-Flipped,svm,1499,23,27,299
Half-Flipped,svm,1506,23,34,299
Half-Flipped,svm,1507,23,35,299
Half-Flipped,svm,1511,23,39,299
Half-Flipped,svm,1534,23,62,299
Half-Flipped,svm,1560,24,24,299
Half-Flipped,svm,1561,24,25,299
Half-Flipped,svm,1562,24,26,299
Half-Flipped,svm,1565,24,29,299
Half-Flipped,svm,1570,24,34,299
Half-Flipped,svm,1571,24,35,299
Half-Flipped,svm,1598,24,62,299
Half-Flipped,svm,1599,24,63,299
Half-Flipped,svm,1625,25,25,299
Half-Flipped,svm,1628,25,28,299
Half-Flipped,svm,1637,25,37,299
Half-Flipped,svm,1638,25,38,299
Half-Flipped,svm,1663,25,63,299
Half-Flipped,svm,1690,26,26,299
Half-Flipped,svm,1691,26,27,299
Half-Flipped,svm,1697,26,33,299
Half-Flipped,svm,1700,26,36,299
Half-Flipped,svm,1701,26,37,299
Half-Flipped,svm,1702,26,38,299
Half-Flipped,svm,1725,26,61,299
Half-Flipped,svm,1754,27,26,299
Half-Flipped,svm,1756,27,28,299
Half-Flipped,svm,1757,27,29,299
Half-Flipped,svm,1762,27,34,299
Half-Flipped,svm,1766,27,38,299
Half-Flipped,svm,1789,27,61,299
