dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,lda,63,0,63,300
Half-Flipped,lda,66,1,2,300
Half-Flipped,lda,122,1,58,300
Half-Flipped,lda,248,3,56,300
Half-Flipped,lda,251,3,59,300
Half-Flipped,lda,252,3,60,300
Half-Flipped,lda,319,4,63,300
Half-Flipped,lda,323,5,3,300
Half-Flipped,lda,377,5,57,300
Half-Flipped,lda,379,5,59,300
Half-Flipped,lda,380,5,60,300
Half-Flipped,lda,442,6,58,300
Half-Flipped,lda,447,6,63,300
Half-Flipped,lda,508,7,60,300
Half-Flipped,lda,511,7,63,300
Half-Flipped,lda,530,8,18,300
Half-Flipped,lda,570,8,58,300
Half-Flipped,lda,572,8,60,300
Half-Flipped,lda,594,9,18,300
Half-Flipped,lda,640,10,0,300
Half-Flipped,lda,656,10,16,300
Half-Flipped,lda,658,10,18,300
Half-Flipped,lda,659,10,19,300
Half-Flipped,lda,700,10,60,300
Half-Flipped,lda,701,10,61,300
Half-Flipped,lda,702,10,62,300
Half-Flipped,lda,748,11,44,300
Half-Flipped,lda,753,11,49,300
Half-Flipped,lda,765,11,61,300
Half-Flipped,lda,767,11,63,300
Half-Flipped,lda,768,12,0,300
Half-Flipped,lda,781,12,13,300
Half-Flipped,lda,786,12,18,300
Half-Flipped,lda,812,12,44,300
Half-Flipped,lda,816,12,48,300
Half-Flipped,lda,847,13,15,300
Half-Flipped,lda,849,13,17,300
Half-Flipped,lda,883,13,51,300
Half-Flipped,lda,892,13,60,300
Half-Flipped,lda,942,14,46,300
Half-Flipped,lda,944,14,48,300
Half-Flipped,lda,946,14,50,300
Half-Flipped,lda,972,15,12,300
Half-Flipped,lda,974,15,14,300
Half-Flipped,lda,976,15,16,300
Half-Flipped,lda,991,15,31,300
Half-Flipped,lda,1005,15,45,300
Half-Flipped,lda,1006,15,46,300
Half-Flipped,lda,1007,15,47,300
Half-Flipped,lda,1011,15,51,300
Half-Flipped,lda,1037,16,13,300
Half-Flipped,lda,1038,16,14,300
Half-Flipped,lda,1041,16,17,300
Half-Flipped,lda,1055,16,31,300
Half-Flipped,lda,1056,16,32,300
Half-Flipped,lda,1073,16,49,300
Half-Flipped,lda,1075,16,51,300
Half-Flipped,lda,1099,17,11,300
Half-Flipped,lda,1113,17,25,300
Half-Flipped,lda,1119,17,31,300
Half-Flipped,lda,1121,17,33,300
Half-Flipped,lda,1134,17,46,300
Half-Flipped,lda,1139,17,51,300
Half-Flipped,lda,1150,17,62,300
Half-Flipped,lda,1165,18,13,300
Half-Flipped,lda,1176,18,24,300
Half-Flipped,lda,1177,18,25,300
Half-Flipped,lda,1179,18,27,300
Half-Flipped,lda,1190,18,38,300
Half-Flipped,lda,1214,18,62,300
Half-Flipped,lda,1231,19,15,300
Half-Flipped,lda,1244,19,28,300
Half-Flipped,lda,1246,19,30,300
Half-Flipped,lda,1249,19,33,300
Half-Flipped,lda,1250,19,34,300
Half-Flipped,lda,1252,19,36,300
Half-Flipped,lda,1254,19,38,300
Half-Flipped,lda,1302,20,22,300
Half-Flipped,lda,1307,20,27,300
Half-Flipped,lda,1308,20,28,300
Half-Flipped,lda,1311,20,31,300
Half-Flipped,lda,1315,20,35,300
Half-Flipped,lda,1317,20,37,300
Half-Flipped,lda,1343,20,63,300
Half-Flipped,lda,1366,21,22,300
Half-Flipped,lda,1372,21,28,300
Half-Flipped,lda,1377,21,33,300
Half-Flipped,lda,1379,21,35,300
Half-Flipped,lda,1429,22,21,300
Half-Flipped,lda,1434,22,26,300
Half-Flipped,lda,1435,22,27,300
Half-Flipped,lda,1436,22,28,300
Half-Flipped,lda,1442,22,34,300
Half-Flipped,lda,1444,22,36,300
Half-Flipped,lda,1446,22,38,300
Half-Flipped,lda,1449,22,41,300
Half-Flipped,lda,1450,22,42,300
Half-Flipped,lda,1495,23,23,300
Half-Flipped,lda,1507,23,35,300
Half-Flipped,lda,1510,23,38,300
Half-Flipped,lda,1534,23,62,300
Half-Flipped,lda,1560,24,24,300
Half-Flipped,lda,1561,24,25,300
Half-Flipped,lda,1562,24,26,300
Half-Flipped,lda,1563,24,27,300
Half-Flipped,lda,1570,24,34,300
Half-Flipped,lda,1575,24,39,300
Half-Flipped,lda,1626,25,26,300
Half-Flipped,lda,1627,25,27,300
Half-Flipped,lda,1629,25,29,300
Half-Flipped,lda,1637,25,37,300
Half-Flipped,lda,1661,25,61,300
Half-Flipped,lda,1663,25,63,300
Half-Flipped,lda,1698,26,34,300
Half-Flipped,lda,1699,26,35,300
Half-Flipped,lda,1701,26,37,300
Half-Flipped,lda,1753,27,25,300
Half-Flipped,lda,1754,27,26,300
Half-Flipped,lda,1757,27,29,300
Half-Flipped,lda,1760,27,32,300
Half-Flipped,lda,1763,27,35,300
Half-Flipped,lda,1817,28,25,300
Half-Flipped,lda,1818,28,26,300
Half-Flipped,lda,1819,28,27,300
Half-Flipped,lda,1830,28,38,300
Half-Flipped,lda,1854,28,62,300
Half-Flipped,lda,1882,29,26,300
Half-Flipped,lda,1893,29,37,300
Half-Flipped,lda,1917,29,61,300
Half-Flipped,lda,1945,30,25,300
Half-Flipped,lda,1946,30,26,300
Half-Flipped,lda,1949,30,29,300
Half-Flipped,lda,1951,30,31,300
Half-Flipped,lda,1952,30,32,300
Half-Flipped,lda,1953,30,33,300
Half-Flipped,lda,1982,30,62,300
Half-Flipped,lda,1983,30,63,300
Half-Flipped,lda,2004,31,20,300
Half-Flipped,lda,2026,31,42,300
Half-Flipped,lda,2029,31,45,300
Half-Flipped,lda,2045,31,61,300
Half-Flipped,lda,2046,31,62,300
Half-Flipped,lda,2077,32,29,300
Half-Flipped,lda,2078,32,30,300
Half-Flipped,lda,2082,32,34,300
Half-Flipped,lda,2093,32,45,300
Half-Flipped,lda,2133,33,21,300
Half-Flipped,lda,2142,33,30,300
Half-Flipped,lda,2157,33,45,300
Half-Flipped,lda,2196,34,20,300
Half-Flipped,lda,2201,34,25,300
Half-Flipped,lda,2202,34,26,300
Half-Flipped,lda,2213,34,37,300
Half-Flipped,lda,2218,34,42,300
Half-Flipped,lda,2238,34,62,300
Half-Flipped,lda,2259,35,19,300
Half-Flipped,lda,2260,35,20,300
Half-Flipped,lda,2262,35,22,300
Half-Flipped,lda,2265,35,25,300
Half-Flipped,lda,2266,35,26,300
Half-Flipped,lda,2267,35,27,300
Half-Flipped,lda,2269,35,29,300
Half-Flipped,lda,2270,35,30,300
Half-Flipped,lda,2277,35,37,300
Half-Flipped,lda,2330,36,26,300
Half-Flipped,lda,2331,36,27,300
Half-Flipped,lda,2335,36,31,300
Half-Flipped,lda,2340,36,36,300
Half-Flipped,lda,2342,36,38,300
Half-Flipped,lda,2394,37,26,300
Half-Flipped,lda,2396,37,28,300
Half-Flipped,lda,2402,37,34,300
Half-Flipped,lda,2431,37,63,300
Half-Flipped,lda,2466,38,34,300
Half-Flipped,lda,2467,38,35,300
Half-Flipped,lda,2469,38,37,300
Half-Flipped,lda,2470,38,38,300
Half-Flipped,lda,2534,39,38,300
Half-Flipped,lda,2535,39,39,300
Half-Flipped,lda,2558,39,62,300
Half-Flipped,lda,2580,40,20,300
Half-Flipped,lda,2584,40,24,300
Half-Flipped,lda,2585,40,25,300
Half-Flipped,lda,2586,40,26,300
Half-Flipped,lda,2589,40,29,300
Half-Flipped,lda,2596,40,36,300
Half-Flipped,lda,2599,40,39,300
Half-Flipped,lda,2644,41,20,300
Half-Flipped,lda,2646,41,22,300
Half-Flipped,lda,2648,41,24,300
Half-Flipped,lda,2650,41,26,300
Half-Flipped,lda,2660,41,36,300
Half-Flipped,lda,2664,41,40,300
Half-Flipped,lda,2687,41,63,300
Half-Flipped,lda,2716,42,28,300
Half-Flipped,lda,2722,42,34,300
Half-Flipped,lda,2726,42,38,300
Half-Flipped,lda,2728,42,40,300
Half-Flipped,lda,2751,42,63,300
Half-Flipped,lda,2777,43,25,300
Half-Flipped,lda,2784,43,32,300
Half-Flipped,lda,2786,43,34,300
Half-Flipped,lda,2788,43,36,300
Half-Flipped,lda,2789,43,37,300
Half-Flipped,lda,2792,43,40,300
Half-Flipped,lda,2814,43,62,300
Half-Flipped,lda,2815,43,63,300
Half-Flipped,lda,2826,44,10,300
Half-Flipped,lda,2839,44,23,300
Half-Flipped,lda,2841,44,25,300
Half-Flipped,lda,2844,44,28,300
Half-Flipped,lda,2846,44,30,300
Half-Flipped,lda,2847,44,31,300
Half-Flipped,lda,2850,44,34,300
Half-Flipped,lda,2854,44,38,300
Half-Flipped,lda,2855,44,39,300
Half-Flipped,lda,2856,44,40,300
Half-Flipped,lda,2865,44,49,300
Half-Flipped,lda,2868,44,52,300
Half-Flipped,lda,2878,44,62,300
Half-Flipped,lda,2889,45,9,300
Half-Flipped,lda,2893,45,13,300
Half-Flipped,lda,2895,45,15,300
Half-Flipped,lda,2906,45,26,300
Half-Flipped,lda,2907,45,27,300
Half-Flipped,lda,2909,45,29,300
Half-Flipped,lda,2915,45,35,300
Half-Flipped,lda,2916,45,36,300
Half-Flipped,lda,2926,45,46,300
Half-Flipped,lda,2953,46,9,300
Half-Flipped,lda,2955,46,11,300
Half-Flipped,lda,2959,46,15,300
Half-Flipped,lda,2961,46,17,300
Half-Flipped,lda,2974,46,30,300
Half-Flipped,lda,2976,46,32,300
Half-Flipped,lda,2982,46,38,300
Half-Flipped,lda,2991,46,47,300
Half-Flipped,lda,2995,46,51,300
Half-Flipped,lda,3024,47,16,300
Half-Flipped,lda,3040,47,32,300
Half-Flipped,lda,3056,47,48,300
Half-Flipped,lda,3060,47,52,300
Half-Flipped,lda,3071,47,63,300
Half-Flipped,lda,3085,48,13,300
Half-Flipped,lda,3087,48,15,300
Half-Flipped,lda,3088,48,16,300
Half-Flipped,lda,3120,48,48,300
Half-Flipped,lda,3121,48,49,300
Half-Flipped,lda,3124,48,52,300
Half-Flipped,lda,3148,49,12,300
Half-Flipped,lda,3181,49,45,300
Half-Flipped,lda,3197,49,61,300
Half-Flipped,lda,3215,50,15,300
Half-Flipped,lda,3249,50,49,300
Half-Flipped,lda,3279,51,15,300
Half-Flipped,lda,3280,51,16,300
Half-Flipped,lda,3282,51,18,300
Half-Flipped,lda,3324,51,60,300
Half-Flipped,lda,3328,52,0,300
Half-Flipped,lda,3344,52,16,300
Half-Flipped,lda,3345,52,17,300
Half-Flipped,lda,3346,52,18,300
Half-Flipped,lda,3388,52,60,300
Half-Flipped,lda,3391,52,63,300
Half-Flipped,lda,3407,53,15,300
Half-Flipped,lda,3454,53,62,300
Half-Flipped,lda,3459,54,3,300
Half-Flipped,lda,3471,54,15,300
Half-Flipped,lda,3472,54,16,300
Half-Flipped,lda,3522,55,2,300
Half-Flipped,lda,3523,55,3,300
Half-Flipped,lda,3578,55,58,300
Half-Flipped,lda,3641,56,57,300
Half-Flipped,lda,3650,57,2,300
Half-Flipped,lda,3651,57,3,300
Half-Flipped,lda,3653,57,5,300
Half-Flipped,lda,3654,57,6,300
Half-Flipped,lda,3769,58,57,300
Half-Flipped,lda,3770,58,58,300
Half-Flipped,lda,3772,58,60,300
Half-Flipped,lda,3774,58,62,300
Half-Flipped,lda,3775,58,63,300
Half-Flipped,lda,3776,59,0,300
Half-Flipped,lda,3833,59,57,300
Half-Flipped,lda,3834,59,58,300
Half-Flipped,lda,3845,60,5,300
Half-Flipped,lda,3896,60,56,300
Half-Flipped,lda,3903,60,63,300
Half-Flipped,lda,3905,61,1,300
Half-Flipped,lda,3907,61,3,300
Half-Flipped,lda,3909,61,5,300
Half-Flipped,lda,3959,61,55,300
Half-Flipped,lda,3964,61,60,300
Half-Flipped,lda,3969,62,1,300
Half-Flipped,lda,3971,62,3,300
Half-Flipped,lda,3972,62,4,300
Half-Flipped,lda,4022,62,54,300
Half-Flipped,lda,4023,62,55,300
Half-Flipped,lda,4090,63,58,300
Half-Flipped,lda,4095,63,63,300
Half-Flipped,logreg,63,0,63,300
Half-Flipped,logreg,66,1,2,300
Half-Flipped,logreg,122,1,58,300
Half-Flipped,logreg,248,3,56,300
Half-Flipped,logreg,251,3,59,300
Half-Flipped,logreg,252,3,60,300
Half-Flipped,logreg,319,4,63,300
Half-Flipped,logreg,323,5,3,300
Half-Flipped,logreg,377,5,57,300
Half-Flipped,logreg,379,5,59,300
Half-Flipped,logreg,380,5,60,300
Half-Flipped,logreg,442,6,58,300
Half-Flipped,logreg,447,6,63,300
Half-Flipped,logreg,508,7,60,300
Half-Flipped,logreg,511,7,63,300
Half-Flipped,logreg,530,8,18,300
Half-Flipped,logreg,570,8,58,300
Half-Flipped,logreg,572,8,60,300
Half-Flipped,logreg,594,9,18,300
Half-Flipped,logreg,640,10,0,300
Half-Flipped,logreg,656,10,16,300
Half-Flipped,logreg,658,10,18,300
Half-Flipped,logreg,659,10,19,300
Half-Flipped,logreg,700,10,60,300
Half-Flipped,logreg,701,10,61,300
Half-Flipped,logreg,702,10,62,300
Half-Flipped,logreg,748,11,44,300
Half-Flipped,logreg,753,11,49,300
Half-Flipped,logreg,765,11,61,300
Half-Flipped,logreg,767,11,63,300
Half-Flipped,logreg,768,12,0,300
Half-Flipped,logreg,781,12,13,300
Half-Flipped,logreg,786,12,18,300
Half-Flipped,logreg,812,12,44,300
Half-Flipped,logreg,816,12,48,300
Half-Flipped,logreg,847,13,15,300
Half-Flipped,logreg,849,13,17,300
Half-Flipped,logreg,883,13,51,300
Half-Flipped,logreg,892,13,60,300
Half-Flipped,logreg,942,14,46,300
Half-Flipped,logreg,944,14,48,300
Half-Flipped,logreg,946,14,50,300
Half-Flipped,logreg,972,15,12,300
Half-Flipped,logreg,974,15,14,300
Half-Flipped,logreg,976,15,16,300
Half-Flipped,logreg,991,15,31,300
Half-Flipped,logreg,1005,15,45,300
Half-Flipped,logreg,1006,15,46,300
Half-Flipped,logreg,1007,15,47,300
Half-Flipped,logreg,1011,15,51,300
Half-Flipped,logreg,1037,16,13,300
Half-Flipped,logreg,1038,16,14,300
Half-Flipped,logreg,1041,16,17,300
Half-Flipped,logreg,1055,16,31,300
Half-Flipped,logreg,1056,16,32,300
Half-Flipped,logreg,1073,16,49,300
Half-Flipped,logreg,1075,16,51,300
Half-Flipped,logreg,1099,17,11,300
Half-Flipped,logreg,1113,17,25,300
Half-Flipped,logreg,1119,17,31,300
Half-Flipped,logreg,1121,17,33,300
Half-Flipped,logreg,1134,17,46,300
Half-Flipped,logreg,1139,17,51,300
Half-Flipped,logreg,1150,17,62,300
Half-Flipped,logreg,1165,18,13,300
Half-Flipped,logreg,1176,18,24,300
Half-Flipped,logreg,1177,18,25,300
Half-Flipped,logreg,1179,18,27,300
Half-Flipped,logreg,1190,18,38,300
Half-Flipped,logreg,1214,18,62,300
Half-Flipped,logreg,1231,19,15,300
Half-Flipped,logreg,1244,19,28,300
Half-Flipped,logreg,1246,19,30,300
Half-Flipped,logreg,1249,19,33,300
Half-Flipped,logreg,1250,19,34,300
Half-Flipped,logreg,1252,19,36,300
Half-Flipped,logreg,1254,19,38,300
Half-Flipped,logreg,1302,20,22,300
Half-Flipped,logreg,1307,20,27,300
Half-Flipped,logreg,1308,20,28,300
Half-Flipped,logreg,1311,20,31,300
Half-Flipped,logreg,1315,20,35,300
Half-Flipped,logreg,1317,20,37,300
Half-Flipped,logreg,1343,20,63,300
Half-Flipped,logreg,1366,21,22,300
Half-Flipped,logreg,1372,21,28,300
Half-Flipped,logreg,1377,21,33,300
Half-Flipped,logreg,1379,21,35,300
Half-Flipped,logreg,1429,22,21,300
Half-Flipped,logreg,1434,22,26,300
Half-Flipped,logreg,1435,22,27,300
Half-Flipped,logreg,1436,22,28,300
Half-Flipped,logreg,1442,22,34,300
Half-Flipped,logreg,1444,22,36,300
Half-Flipped,logreg,1446,22,38,300
Half-Flipped,logreg,1449,22,41,300
Half-Flipped,logreg,1450,22,42,300
Half-Flipped,logreg,1495,23,23,300
Half-Flipped,logreg,1507,23,35,300
Half-Flipped,logreg,1510,23,38,300
Half-Flipped,logreg,1534,23,62,300
Half-Flipped,logreg,1560,24,24,300
Half-Flipped,logreg,1561,24,25,300
Half-Flipped,logreg,1562,24,26,300
Half-Flipped,logreg,1563,24,27,300
Half-Flipped,logreg,1570,24,34,300
Half-Flipped,logreg,1575,24,39,300
Half-Flipped,logreg,1626,25,26,300
Half-Flipped,logreg,1627,25,27,300
Half-Flipped,logreg,1629,25,29,300
Half-Flipped,logreg,1637,25,37,300
Half-Flipped,logreg,1661,25,61,300
Half-Flipped,logreg,1663,25,63,300
Half-Flipped,logreg,1698,26,34,300
Half-Flipped,logreg,1699,26,35,300
Half-Flipped,logreg,1701,26,37,300
Half-Flipped,logreg,1753,27,25,300
Half-Flipped,logreg,1754,27,26,300
Half-Flipped,logreg,1757,27,29,300
Half-Flipped,logreg,1760,27,32,300
Half-Flipped,logreg,1763,27,35,300
Half-Flipped,logreg,1817,28,25,300
Half-Flipped,logreg,1818,28,26,300
Half-Flipped,logreg,1819,28,27,300
Half-Flipped,logreg,1830,28,38,300
Half-Flipped,logreg,1854,28,62,300
Half-Flipped,logreg,1882,29,26,300
Half-Flipped,logreg,1893,29,37,300
Half-Flipped,logreg,1917,29,61,300
Half-Flipped,logreg,1945,30,25,300
Half-Flipped,logreg,1946,30,26,300
Half-Flipped,logreg,1949,30,29,300
Half-Flipped,logreg,1951,30,31,300
Half-Flipped,logreg,1952,30,32,300
Half-Flipped,logreg,1953,30,33,300
Half-Flipped,logreg,1982,30,62,300
Half-Flipped,logreg,1983,30,63,300
Half-Flipped,logreg,2004,31,20,300
Half-Flipped,logreg,2026,31,42,300
Half-Flipped,logreg,2029,31,45,300
Half-Flipped,logreg,2045,31,61,300
Half-Flipped,logreg,2046,31,62,300
Half-Flipped,logreg,2077,32,29,300
Half-Flipped,logreg,2078,32,30,300
Half-Flipped,logreg,2082,32,34,300
Half-Flipped,logreg,2093,32,45,300
Half-Flipped,logreg,2133,33,21,300
Half-Flipped,logreg,2142,33,30,300
Half-Flipped,logreg,2157,33,45,300
Half-Flipped,logreg,2196,34,20,300
Half-Flipped,logreg,2201,34,25,300
Half-Flipped,logreg,2202,34,26,300
Half-Flipped,logreg,2213,34,37,300
Half-Flipped,logreg,2218,34,42,300
Half-Flipped,logreg,2238,34,62,300
Half-Flipped,logreg,2259,35,19,300
Half-Flipped,logreg,2260,35,20,300
Half-Flipped,logreg,2262,35,22,300
Half-Flipped,logreg,2265,35,25,300
Half-Flipped,logreg,2266,35,26,300
Half-Flipped,logreg,2267,35,27,300
Half-Flipped,logreg,2269,35,29,300
Half-Flipped,logreg,2270,35,30,300
Half-Flipped,logreg,2277,35,37,300
Half-Flipped,logreg,2330,36,26,300
Half-Flipped,logreg,2331,36,27,300
Half-Flipped,logreg,2335,36,31,300
Half-Flipped,logreg,2340,36,36,300
Half-Flipped,logreg,2342,36,38,300
Half-Flipped,logreg,2394,37,26,300
Half-Flipped,logreg,2396,37,28,300
Half-Flipped,logreg,2402,37,34,300
Half-Flipped,logreg,2431,37,63,300
Half-Flipped,logreg,2466,38,34,300
Half-Flipped,logreg,2467,38,35,300
Half-Flipped,logreg,2469,38,37,300
Half-Flipped,logreg,2470,38,38,300
Half-Flipped,logreg,2534,39,38,300
Half-Flipped,logreg,2535,39,39,300
Half-Flipped,logreg,2558,39,62,300
Half-Flipped,logreg,2580,40,20,300
Half-Flipped,logreg,2584,40,24,300
Half-Flipped,logreg,2585,40,25,300
Half-Flipped,logreg,2586,40,26,300
Half-Flipped,logreg,2589,40,29,300
Half-Flipped,logreg,2596,40,36,300
Half-Flipped,logreg,2599,40,39,300
Half-Flipped,logreg,2644,41,20,300
Half-Flipped,logreg,2646,41,22,300
Half-Flipped,logreg,2648,41,24,300
Half-Flipped,logreg,2650,41,26,300
Half-Flipped,logreg,2660,41,36,300
Half-Flipped,logreg,2664,41,40,300
Half-Flipped,logreg,2687,41,63,300
Half-Flipped,logreg,2716,42,28,300
Half-Flipped,logreg,2722,42,34,300
Half-Flipped,logreg,2726,42,38,300
Half-Flipped,logreg,2728,42,40,300
Half-Flipped,logreg,2751,42,63,300
Half-Flipped,logreg,2777,43,25,300
Half-Flipped,logreg,2784,43,32,300
Half-Flipped,logreg,2786,43,34,300
Half-Flipped,logreg,2788,43,36,300
Half-Flipped,logreg,2789,43,37,300
Half-Flipped,logreg,2792,43,40,300
Half-Flipped,logreg,2814,43,62,300
Half-Flipped,logreg,2815,43,63,300
Half-Flipped,logreg,2826,44,10,300
Half-Flipped,logreg,2839,44,23,300
