classifier,pixel_index,row,col,n_original_selected,n_flipped_selected,n_overlap
lda,1176,18,24,76,300,15
lda,1177,18,25,76,300,15
lda,1249,19,33,76,300,15
lda,1250,19,34,76,300,15
lda,1311,20,31,76,300,15
lda,1317,20,37,76,300,15
lda,2201,34,25,76,300,15
lda,2202,34,26,76,300,15
lda,2213,34,37,76,300,15
lda,2266,35,26,76,300,15
lda,2277,35,37,76,300,15
lda,2330,36,26,76,300,15
lda,3085,48,13,76,300,15
lda,3181,49,45,76,300,15
lda,3279,51,15,76,300,15
logreg,1176,18,24,76,300,15
logreg,1177,18,25,76,300,15
logreg,1249,19,33,76,300,15
logreg,1250,19,34,76,300,15
logreg,1311,20,31,76,300,15
logreg,1317,20,37,76,300,15
logreg,2201,34,25,76,300,15
logreg,2202,34,26,76,300,15
logreg,2213,34,37,76,300,15
logreg,2266,35,26,76,300,15
logreg,2277,35,37,76,300,15
logreg,2330,36,26,76,300,15
logreg,3085,48,13,76,300,15
logreg,3181,49,45,76,300,15
logreg,3279,51,15,76,300,15
svm,991,15,31,254,300,32
svm,1176,18,24,254,300,32
svm,1250,19,34,254,300,32
svm,1302,20,22,254,300,32
svm,1311,20,31,254,300,32
svm,1317,20,37,254,300,32
svm,1372,21,28,254,300,32
svm,1377,21,33,254,300,32
svm,1429,22,21,254,300,32
svm,1444,22,36,254,300,32
svm,1446,22,38,254,300,32
svm,1450,22,42,254,300,32
svm,1561,24,25,254,300,32
svm,1562,24,26,254,300,32
svm,1570,24,34,254,300,32
svm,2201,34,25,254,300,32
svm,2213,34,37,254,300,32
svm,2266,35,26,254,300,32
svm,2267,35,27,254,300,32
svm,2277,35,37,254,300,32
svm,2330,36,26,254,300,32
svm,2342,36,38,254,300,32
svm,2716,42,28,254,300,32
svm,2777,43,25,254,300,32
svm,2784,43,32,254,300,32
svm,2974,46,30,254,300,32
svm,2976,46,32,254,300,32
svm,3085,48,13,254,300,32
svm,3088,48,16,254,300,32
svm,3279,51,15,254,300,32
svm,3280,51,16,254,300,32
svm,3345,52,17,254,300,32
