dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,lda,58,0,58,94
Half-Flipped,lda,63,0,63,94
Half-Flipped,lda,124,1,60,94
Half-Flipped,lda,127,1,63,94
Half-Flipped,lda,380,5,60,94
Half-Flipped,lda,552,8,40,94
Half-Flipped,lda,575,8,63,94
Half-Flipped,lda,616,9,40,94
Half-Flipped,lda,640,10,0,94
Half-Flipped,lda,654,10,14,94
Half-Flipped,lda,684,10,44,94
Half-Flipped,lda,702,10,62,94
Half-Flipped,lda,747,11,43,94
Half-Flipped,lda,751,11,47,94
Half-Flipped,lda,882,13,50,94
Half-Flipped,lda,883,13,51,94
Half-Flipped,lda,896,14,0,94
Half-Flipped,lda,974,15,14,94
Half-Flipped,lda,976,15,16,94
Half-Flipped,lda,1006,15,46,94
Half-Flipped,lda,1008,15,48,94
Half-Flipped,lda,1055,16,31,94
Half-Flipped,lda,1072,16,48,94
Half-Flipped,lda,1097,17,9,94
Half-Flipped,lda,1135,17,47,94
Half-Flipped,lda,1138,17,50,94
Half-Flipped,lda,1140,17,52,94
Half-Flipped,lda,1175,18,23,94
Half-Flipped,lda,1190,18,38,94
Half-Flipped,lda,1204,18,52,94
Half-Flipped,lda,1241,19,25,94
Half-Flipped,lda,1254,19,38,94
Half-Flipped,lda,1305,20,25,94
Half-Flipped,lda,1434,22,26,94
Half-Flipped,lda,1499,23,27,94
Half-Flipped,lda,1562,24,26,94
Half-Flipped,lda,1637,25,37,94
Half-Flipped,lda,1690,26,26,94
Half-Flipped,lda,1818,28,26,94
Half-Flipped,lda,1829,28,37,94
Half-Flipped,lda,2004,31,20,94
Half-Flipped,lda,2047,31,63,94
Half-Flipped,lda,2090,32,42,94
Half-Flipped,lda,2132,33,20,94
Half-Flipped,lda,2194,34,18,94
Half-Flipped,lda,2195,34,19,94
Half-Flipped,lda,2201,34,25,94
Half-Flipped,lda,2218,34,42,94
Half-Flipped,lda,2220,34,44,94
Half-Flipped,lda,2259,35,19,94
Half-Flipped,lda,2260,35,20,94
Half-Flipped,lda,2262,35,22,94
Half-Flipped,lda,2266,35,26,94
Half-Flipped,lda,2277,35,37,94
Half-Flipped,lda,2278,35,38,94
Half-Flipped,lda,2330,36,26,94
Half-Flipped,lda,2431,37,63,94
Half-Flipped,lda,2469,38,37,94
Half-Flipped,lda,2495,38,63,94
Half-Flipped,lda,2586,40,26,94
Half-Flipped,lda,2661,41,37,94
Half-Flipped,lda,2725,42,37,94
Half-Flipped,lda,2790,43,38,94
Half-Flipped,lda,2825,44,9,94
Half-Flipped,lda,2904,45,24,94
Half-Flipped,lda,2952,46,8,94
Half-Flipped,lda,2959,46,15,94
Half-Flipped,lda,2974,46,30,94
Half-Flipped,lda,3022,47,14,94
Half-Flipped,lda,3039,47,31,94
Half-Flipped,lda,3085,48,13,94
Half-Flipped,lda,3086,48,14,94
Half-Flipped,lda,3118,48,46,94
Half-Flipped,lda,3119,48,47,94
Half-Flipped,lda,3121,48,49,94
Half-Flipped,lda,3124,48,52,94
Half-Flipped,lda,3148,49,12,94
Half-Flipped,lda,3151,49,15,94
Half-Flipped,lda,3308,51,44,94
Half-Flipped,lda,3312,51,48,94
Half-Flipped,lda,3454,53,62,94
Half-Flipped,lda,3471,54,15,94
Half-Flipped,lda,3476,54,20,94
