dataset,classifier,param_filter__k,param_lasso__estimator__C,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,is_best,final_test_accuracy,param_svm__C,param_svm__kernel
Half-Flipped,lda,1000,0.01,0.6406666666666667,0.6526666666666666,0.62,0.6433333333333333,0.6473333333333333,0.6407999999999999,0.011158653841550749,1,True,0.6348,,
Half-Flipped,lda,1000,0.1,0.6393333333333333,0.6353333333333333,0.634,0.6186666666666667,0.628,0.6310666666666667,0.007187643718369877,2,False,,,
Half-Flipped,lda,1000,10.0,0.6206666666666667,0.62,0.6166666666666667,0.6006666666666667,0.614,0.6144000000000001,0.0072736969050591245,3,False,,,
Half-Flipped,lda,1000,1.0,0.6206666666666667,0.6186666666666667,0.618,0.5973333333333334,0.6133333333333333,0.6136,0.00848109007668759,4,False,,,
Half-Flipped,logreg,1000,0.01,0.6406666666666667,0.6526666666666666,0.6206666666666667,0.6446666666666667,0.6473333333333333,0.6412000000000001,0.010982005483719444,1,True,0.6408,,
Half-Flipped,logreg,1000,0.1,0.64,0.6366666666666667,0.6333333333333333,0.6193333333333333,0.6326666666666667,0.6324000000000001,0.007037676384211569,2,False,,,
Half-Flipped,logreg,1000,10.0,0.6193333333333333,0.6226666666666667,0.612,0.602,0.6153333333333333,0.6142666666666667,0.007113055289786216,3,False,,,
Half-Flipped,logreg,1000,1.0,0.6126666666666667,0.622,0.614,0.6,0.616,0.6129333333333333,0.007212335112692551,4,False,,,
Half-Flipped,svm,1000,0.1,0.8006666666666666,0.8206666666666667,0.804,0.8286666666666667,0.81,0.8128,0.010451156235874887,1,True,0.8072,10.0,rbf
Half-Flipped,svm,1000,1.0,0.7993333333333333,0.8133333333333334,0.796,0.8133333333333334,0.7946666666666666,0.8033333333333335,0.008305286134611975,2,False,,10.0,rbf
Half-Flipped,svm,1000,10.0,0.8033333333333333,0.806,0.7886666666666666,0.8193333333333334,0.7933333333333333,0.8021333333333333,0.010686647951740756,3,False,,10.0,rbf
Half-Flipped,svm,1000,0.01,0.7546666666666667,0.7646666666666667,0.7586666666666667,0.7813333333333333,0.754,0.7626666666666667,0.01007527225990002,4,False,,10.0,rbf
Original,lda,1000,0.1,0.7833333333333333,0.7806666666666666,0.7786666666666666,0.7986666666666666,0.7873333333333333,0.7857333333333333,0.007088018058667746,1,True,0.778,,
Original,lda,1000,0.01,0.792,0.78,0.7713333333333333,0.7986666666666666,0.774,0.7832,0.010510523826675387,2,False,,,
Original,lda,1000,1.0,0.7666666666666667,0.764,0.766,0.7593333333333333,0.7506666666666667,0.7613333333333333,0.005917957605645907,3,False,,,
Original,lda,1000,10.0,0.7686666666666667,0.7606666666666667,0.7646666666666667,0.7633333333333333,0.746,0.7606666666666666,0.007774602526460416,4,False,,,
Original,logreg,1000,0.01,0.7893333333333333,0.7813333333333333,0.7693333333333333,0.7973333333333333,0.7786666666666666,0.7832,0.009525637919728946,1,True,0.7796,,
Original,logreg,1000,0.1,0.7793333333333333,0.7813333333333333,0.7733333333333333,0.7953333333333333,0.7813333333333333,0.7821333333333333,0.007222188034107122,2,False,,,
Original,logreg,1000,1.0,0.7566666666666667,0.7613333333333333,0.7493333333333333,0.752,0.7493333333333333,0.7537333333333333,0.004649492206443396,3,False,,,
Original,logreg,1000,10.0,0.76,0.7493333333333333,0.754,0.7533333333333333,0.7366666666666667,0.7506666666666667,0.007786027371016756,4,False,,,
Original,svm,1000,0.1,0.88,0.9013333333333333,0.8646666666666667,0.8933333333333333,0.888,0.8854666666666666,0.012510617712789211,1,True,0.894,10.0,rbf
Original,svm,1000,1.0,0.878,0.8966666666666666,0.872,0.8953333333333333,0.8766666666666667,0.8837333333333334,0.010220676211592937,2,False,,10.0,rbf
Original,svm,1000,10.0,0.8746666666666667,0.894,0.8726666666666667,0.8986666666666666,0.874,0.8828000000000001,0.011166616915312034,3,False,,10.0,rbf
Original,svm,1000,0.01,0.8406666666666667,0.856,0.8406666666666667,0.8586666666666667,0.848,0.8488000000000001,0.00751176854453508,4,False,,10.0,rbf
